Araria,12,59,47,12,0
Arwal,0,47,22,25,0
Aurangabad,0,74,47,27,0
Banka,0,118,59,59,0
Begusarai,2,247,160,85,2
Bhagalpur,7,190,118,1,1
Bhojpur,0,89,33,34,2
Buxar,1,118,26,92,0
Darbhanga,0,104,80,24,0
